GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
decreasedactivationinafunctionallyconnectedmotornetworkfollowingmotorsequencelearningaftersubcorticalstroke,Decreased activation in a functionally connected motor network following motor sequence learning after subcortical stroke,"['Lara Boyd', 'Todd Woodward']",,,,increaseindopamineturnoveroccursearlyinparkinsonsdiseaseevidencefromanewmodelingapproachtopet18ffluorodopadata,Increase in Dopamine Turnover Occurs Early in Parkinson's Disease: Evidence from a New Modeling Approach to PET 18F-Fluorodopa Data,Increase in dopamine turnover occurs early in Parkinson's disease: Evidence from a new modeling approach to PET <sup>18</sup>F-fluorodopa data,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
compensatoryremappingoffmrifunctionalconnectivityduringrestingstateinmultiplesclerosis,Compensatory remapping of fMRI functional connectivity during resting state in multiple sclerosis,"['Martin McKeown', 'Z. Jane Wang']",,,,automaticlabelingofparkinsonsdiseasegaitvideoswithweaksupervision,Automatic labeling of Parkinson’s Disease gait videos with weak supervision,Automatic labeling of Parkinson's Disease gait videos with weak supervision,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
developmentofamousemodelofdiffusemicroinfarctionandautomatedassessmenttoolsformonitoringrecovery,Development of a Mouse Model of Diffuse Microinfarction and Automated Assessment Tools for Monitoring Recovery,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,stressimpactssensoryvariabilitythroughcorticalsensoryactivitymotifs,Stress impacts sensory variability through cortical sensory activity motifs,Stress impacts sensory variability through cortical sensory activity motifs,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
thedopamineeffectivedistributionvolumeagoodclassifyingestimatorofearlyparkinsonsdisease,The dopamine effective distribution volume: A good classifying estimator of early Parkinson's disease.,"['A Jon Stoessl', 'Vesna Sossi']",,,,studyofstrokeconditionandhanddominanceusingahiddenmarkovmultivariateautoregressivehmmmarnetworkframework,"Study of stroke condition and hand dominance using a hidden Markov, multivariate autoregressive (HMM-mAR) network framework","Study of stroke condition and hand dominance using a hidden Markov, multivariate autoregressive (HMM-mAR) network framework","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
p38mapkisinvolvedinenhancednmdareceptordependentexcitotoxicityinyactransgenicmousemodelofhuntingtondisease,P38 MAPK is involved in enhanced NMDA receptor-dependent excitotoxicity in YAC transgenic mouse model of Huntington disease,"['Yu Tian Wang', 'Lynn Raymond']",,,,novelspatialanalysismethodforpetimagesusing3dmomentinvariantsapplicationstoparkinsonsdisease,Novel spatial analysis method for PET images using 3D moment invariants: Applications to Parkinson's disease,Novel spatial analysis method for PET images using 3D moment invariants: Applications to Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']"
semipflpersonalizedsemisupervisedfederatedlearningframeworkforedgeintelligence,SemiPFL: Personalized Semi-Supervised Federated Learning Framework for Edge Intelligence,"['Z. Jane Wang', 'Peyman Servati']",,,,constructingpreciselycomputingnetworkswithbiophysicalspikingneurons,Constructing precisely computing networks with biophysical spiking neurons,Constructing precisely computing networks with biophysical spiking neurons,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne Fairhall', 'Eric Shea-Brown']"
striatalandcorticalelevationsinserotonintransporterbindingprecedemotoronsetinasymptomaticpatientswithlrrk2genemutations,Striatal and cortical elevations in serotonin transporter binding precede motor onset in asymptomatic patients with lrrk2 gene mutations,"['A Jon Stoessl', 'Vesna Sossi']",,,,icadenoisingforeventrelatedfmristudies,ICA denoising for event-related fMRI studies,ICA denoising for event-related fMRI studies,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
longitudinalmonitoringofmesoscopiccorticalactivityusingafluorescentbeadmousemodelofsmallvesseldiseaseandgcamp6imaging,Longitudinal monitoring of mesoscopic cortical activity using a fluorescent bead mouse model of small vessel disease and GCaMP6 imaging,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,cellpalmseqacuratedrnaseqdatabaseofpalmitoylatinganddepalmitoylatingenzymeexpressioninhumancelltypesandlaboratorycelllines,CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,"['Shernaz Bamji', 'Kurt Haas']","['Shernaz Bamji', 'Kurt Haas']"
impactofdifferentrealignmentalgorithmsonthespmanalysisofsup11craclopridepetstudies,Impact of different realignment algorithms on the SPM analysis of [/sup 11/C] raclopride PET studies,"['A Jon Stoessl', 'Vesna Sossi']",,,,boneenhancementinultrasoundusinglocalspectrumvariationsforguidingpercutaneousscaphoidfracturefixationprocedures,Bone enhancement in ultrasound using local spectrum variations for guiding percutaneous scaphoid fracture fixation procedures,Bone enhancement in ultrasound using local spectrum variations for guiding percutaneous scaphoid fracture fixation procedures,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
longitudinalchangesincaudatedopamineprocessinginparkinsonsdiseaseamultitracerpetstudys33005,Longitudinal Changes in Caudate Dopamine Processing in Parkinson's Disease: A Multi-Tracer PET Study (S33. 005),"['A Jon Stoessl', 'Vesna Sossi']",,,,amultivertebraecttousregistrationofthelumbarspineinclinicaldata,A multi-vertebrae CT to US registration of the lumbar spine in clinical data,A multi-vertebrae CT to US registration of the lumbar spine in clinical data,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
abayesiannetworkapproachforpredictionoffuturedementiainparkinsonsdisease,A bayesian network approach for prediction of future dementia in Parkinson's disease,"['Martin McKeown', 'Silke Cresswell']",,,,cadherinsmediatecocaineinducedsynapticplasticityandbehavioralconditioning,Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,"['Shernaz Bamji', 'Anthony Phillips']","['Shernaz Bamji', 'Anthony Phillips']"
sharelink,Share Link,"['Terry Snutch', 'Catharine Rankin']",,,,hippocampallongtermdepressionmediatesacutestressinducedspatialmemoryretrievalimpairment,Hippocampal long-term depression mediates acute stress-induced spatial memory retrieval impairment,Hippocampal long-term depression mediates acute stress-induced spatial memory retrieval impairment,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
decisionsunderriskinparkinsonsdiseaseevaluatingprobabilityandmagnitudeforgainandloss,Decisions under risk in Parkinson's disease: Evaluating probability and magnitude for gain and loss,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']",,,,anfdrcontrolledexploratorygroupmodelingforassessingbrainconnectivity,"An FDR-controlled, exploratory group modeling for assessing brain connectivity","An FDR-controlled, exploratory group modeling for assessing brain connectivity","['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
reshapingthepathofmildcognitiveimpairmentbyrefiningexerciseprescriptionastudyprotocolofarandomizedcontrolledtrialtounderstandthewhatforwhomand,"Reshaping the path of mild cognitive impairment by refining exercise prescription: a study protocol of a randomized controlled trial to understand the “what,”“for whom,” and …","['Lara Boyd', 'Liisa Galea']",,,,aselectiverolefordopamineinthenucleusaccumbensoftheratinrandomforagingbutnotdelayedspatialwinshiftbasedforaging,A selective role for dopamine in the nucleus accumbens of the rat in random foraging but not delayed spatial win-shift-based foraging,A selective role for dopamine in the nucleus accumbens of the rat in random foraging but not delayed spatial win-shift-based foraging,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
screeningforcognitiveimpairmentwiththemontrealcognitiveassessmentinparkinsonsdiseasepatients,Screening for Cognitive Impairment with the Montreal Cognitive Assessment in Parkinson's Disease Patients,"['A Jon Stoessl', 'Silke Cresswell']",,,,ministrokesinchannelrhodopsin2transgenicmicerevealwidespreaddeficitsinmotoroutputdespitemaintenanceofcorticalneuronalexcitability,Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,Ministrokes in channelrhodopsin-2 transgenic mice reveal widespread deficits in motor output despite maintenance of cortical neuronal excitability,"['Tim H. Murphy', 'Wolfram Tetzlaff']","['Tim H. Murphy', 'Wolfram Tetzlaff']"
ajournaldevotedtofuncঞonalneuroanatomyandneuroimaging,A Journal Devoted to Funcঞonal Neuroanatomy and Neuroimaging,"['Sophia Frangou', 'Randy Mcintosh']",,,,athreedimensionalvirtualmousegeneratessynthetictrainingdataforbehavioralanalysis,A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,"['Tim H. Murphy', 'Helge Rhodin', 'Jeffrey LeDue']","['Tim H. Murphy', 'Helge Rhodin', 'Jeffrey LeDue']"
comparisonbetweenthebmaxkdplasmainputandtissueinputderivedestimatesofindtbzstudiesofparkinsons,Comparison between the Bmax/Kd Plasma Input and Tissue Input Derived Estimates of in DTBZ Studies of Parkinson's,"['A Jon Stoessl', 'Vesna Sossi']",,,,positronemissiontomographyafterfetaltransplantationinhuntingtonsdisease,Positron emission tomography after fetal transplantation in Huntington's disease,Positron emission tomography after fetal transplantation in Huntington's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
invivovoltagesensitivedyeimaginginadultmicerevealsthatsomatosensorymapslosttostrokearereplacedoverweeksbynewstructuralandfunctionalcircuitswith,In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with …,"['Tim H. Murphy', 'Craig E. Brown']",,,,pqtypecalciumchannelsmediatetheactivitydependentfeedbackofsyntaxin1a,P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A,P/Q-type calcium channels mediate the activity-dependent feedback of syntaxin-1A,"['Tim H. Murphy', 'Terry Snutch']","['Tim H. Murphy', 'Terry Snutch']"
methodsoftreatingbrainedema,Methods of treating brain edema,"['Brian MacVicar', 'Terry Snutch']",,,,homozygousalphasynucleinpa53vinfamilialparkinsonsdisease,Homozygous alpha-synuclein p. A53V in familial Parkinson's disease,Homozygous alpha-synuclein p.A53V in familial Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
ajournaldevotedtofunconalneuroanatomyandneuroimaging,A Journal Devoted to Funconal Neuroanatomy and Neuroimaging,"['Sophia Frangou', 'Randy Mcintosh']",,,,phosphorylatedαsynucleininparkinsonsdiseasecorrelationdependsondiseaseseverity,Phosphorylated α-synuclein in Parkinson’s disease: correlation depends on disease severity,Phosphorylated α-synuclein in Parkinson's disease: correlation depends on disease severity,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
molecularimagingcorrelatesofsleepdysfunctioninparkinsonsdiseasepd,Molecular imaging correlates of sleep dysfunction in Parkinson's disease (PD),"['A Jon Stoessl', 'Vesna Sossi']",,,,radiographyusedtomeasureinternalspinalcorddeformationinaninvivoratmodel,Radiography used to measure internal spinal cord deformation in an in vivo rat model,Radiography used to measure internal spinal cord deformation in an in vivo rat model,"['Peter Cripton', 'Wolfram Tetzlaff']","['Peter Cripton', 'Wolfram Tetzlaff']"
novelvoxelwiseresidualanalysisof11craclopridepetdataimprovesdetectionoflowamplitudedopaminerelease,Novel voxelwise residual analysis of [11C]raclopride PET data improves detection of low-amplitude dopamine release,"['A Jon Stoessl', 'Vesna Sossi']",,,,ca2transientsinastrocytefineprocessesoccurviaca2influxintheadultmousehippocampus,Ca2+ transients in astrocyte fine processes occur via Ca2+ influx in the adult mouse hippocampus,Ca<sup>2+</sup> transients in astrocyte fine processes occur via Ca<sup>2+</sup> influx in the adult mouse hippocampus,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian MacVicar', 'Jeffrey LeDue']"
invivomesoscalevoltageimagingofcorticaldynamicsasaplatformforinvestigatingmousemodelsofneurodegenerativeandpsychiatricdisease,"IN VIVO, MESOSCALE VOLTAGE IMAGING OF CORTICAL DYNAMICS AS A PLATFORM FOR INVESTIGATING MOUSE MODELS OF NEURODEGENERATIVE AND PSYCHIATRIC DISEASE","['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']",,,,ltdisinvolvedintheformationandmaintenanceofrathippocampalca1placecellfields,LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,"['Anthony Phillips', 'Yu Tian Wang', 'Jeremy Seamans']","['Anthony Phillips', 'Yu Tian Wang', 'Jeremy Seamans']"
patternsofmorphologicalchangeinbasalgangliabgstructuresinparkinsonsdiseasepd,Patterns of morphological change in basal ganglia (BG) structures in Parkinson's disease (PD),"['Martin McKeown', 'Silke Cresswell']",,,,longitudinalinvivoimagingrevealsbalancedandbranchspecificremodelingofmaturecorticalpyramidaldendriticarborsafterstroke,Longitudinal in vivo Imaging Reveals Balanced and Branch-Specific Remodeling of Mature Cortical Pyramidal Dendritic Arbors after Stroke,Longitudinal in vivo imaging reveals balanced and branch-specific remodeling of mature cortical pyramidal dendritic arbors after stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Tim H. Murphy', 'Craig E. Brown']"
optogeneticmappingafterstrokerevealsnetworkwidescalingoffunctionalconnectionsandheterogeneousrecoveryoftheperiinfarctdecemberpg164552014,"Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct (December, pg 16455, 2014)","['Tim H. Murphy', 'Jeffrey LeDue']",,,,dopaminetransporterrelationtodopamineturnoverinparkinsonsdiseaseapositronemissiontomographystudy,Dopamine transporter relation to dopamine turnover in Parkinson's disease: a positron emission tomography study,Dopamine transporter relation to dopamine turnover in Parkinson's disease: A positron emission tomography study,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
standardized3dtestobjectformulticameracalibrationduringanimalposecapture,Standardized 3D test object for multi-camera calibration during animal pose capture,"['Tim H. Murphy', 'Helge Rhodin']",,,,lackofregionalselectivityduringtheprogressionofparkinsondiseaseimplicationsforpathogenesis,Lack of regional selectivity during the progression of Parkinson disease: implications for pathogenesis,Lack of regional selectivity during the progression of Parkinson disease: Implications for pathogenesis,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
compensatorymechanismsinthedopaminesystemofpatientswithdominantlyinheritedparkinsonism,Compensatory mechanisms in the dopamine system of patients with dominantly inherited parkinsonism,"['A Jon Stoessl', 'Vesna Sossi']",,,,competitionbetweenphasicandasynchronousreleaseforrecoveredsynapticvesiclesatdevelopinghippocampalautapticsynapses,Competition between phasic and asynchronous release for recovered synaptic vesicles at developing hippocampal autaptic synapses,Competition between Phasic and Asynchronous Release for Recovered Synaptic Vesicles at Developing Hippocampal Autaptic Synapses,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
graphicalmodelsoffunctionalmridataforassessingbrainconnectivity,Graphical Models of Functional MRI Data for Assessing Brain Connectivity,"['Martin McKeown', 'Z. Jane Wang']",,,,asmallmoleculeinduciblenrf2mediatedantioxidantresponseprovideseffectiveprophylaxisagainstcerebralischemiainvivo,A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,"['Tim H. Murphy', 'Andy Shih']","['Tim H. Murphy', 'Andy Shih']"
brainpericytesandperivascularfibroblastsarestromalprogenitorsthatcoordinatecerebrovascularregenerationafterstroke,Brain pericytes and perivascular fibroblasts are stromal progenitors that coordinate cerebrovascular regeneration after stroke,"['Brian MacVicar', 'Fabio Rossi']",,,,noveldatadrivenequationfreemethodcapturesspatiotemporalpatternsofneurodegenerationinparkinsonsdiseaseapplicationofdynamicmodedecompositiontopet,"Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
differingbiologicalsubstratesofmanualtrackingperformanceinparkinsonsdiseasesubtypes,Differing biological substrates of manual tracking performance in Parkinson's disease subtypes,"['Martin McKeown', 'Z. Jane Wang']",,,,aheartbeatratedetectionframeworkusingmultiplenanofibersensorsignals,A heart beat rate detection framework using multiple nanofiber sensor signals,A heart beat rate detection framework using multiple nanofiber sensor signals,"['Martin McKeown', 'Z. Jane Wang', 'Peyman Servati']","['Martin McKeown', 'Peyman Servati']"
autosomaldominantparkinsonismassociatedwithanewlydescribedmutationindnajc13clinicalimagingandpathologicaldescriptions13002,"Autosomal-Dominant Parkinsonism Associated with a Newly Described Mutation in DNAJC13: Clinical, Imaging and Pathological Description (S13. 002)","['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']",,,,synapticdysfunctioninprogranulindeficientmice,Synaptic dysfunction in progranulin-deficient mice,Synaptic dysfunction in progranulin-deficient mice,"['Ian Mackenzie', 'Lynn Raymond']","['Ian Mackenzie', 'Lynn Raymond']"
apathyinparkinsonsdiseaseisassociatedwithabnormalalphaoscillatorybehaviourduringincentivizedmovement,Apathy in Parkinson's disease is associated with abnormal alpha oscillatory behaviour during incentivized movement,"['Martin McKeown', 'Silke Cresswell']",,,,functionalneuroimaginginparkinsonsdisease,Functional neuroimaging in Parkinson's disease,Functional neuroimaging in Parkinson's disease,"['Silke Cresswell', 'Vesna Sossi']","['Silke Cresswell', 'Vesna Sossi']"
presymptomaticc9orf72mutationcarriersshowadiffusepatternofglucosemetabolicreductionson18ffdgpetimaging,Presymptomatic C9ORF72 mutation carriers show a diffuse pattern of glucose metabolic reductions on [18] F-FDG-PET imaging,"['A Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,contributionofcalciumdependentfacilitationtosynapticplasticityrevealedbymigrainemutationsinthepqtypecalciumchannel,Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,"['Brian MacVicar', 'Terry Snutch']","['Brian MacVicar', 'Terry Snutch']"
heterogeneousseverityoflesionsinthestriatumofpatientswithparkinsonsdiseaseinvivopetstudiesusingdihydrotetrabenazinemethyphenidateandfdopa,"Heterogeneous severity of lesions in the striatum of patients with Parkinson's disease: In vivo PET studies using dihydrotetrabenazine, methyphenidate and F-DOPA","['A Jon Stoessl', 'Vesna Sossi']",,,,structuralnetworkanalysisusingdiffusionmritractographyinparkinsonsdiseaseandcorrelationswithmotorimpairment,Structural network analysis using diffusion MRI tractography in Parkinson's disease and correlations with motor impairment,Structural Network Analysis Using Diffusion MRI Tractography in Parkinson's Disease and Correlations With Motor Impairment,"['Martin McKeown', 'Silke Cresswell']","['Martin McKeown', 'Silke Cresswell']"
asingleboutofcyclingexerciseimprovesmoodandmotorfunctioninparkinsonsdisease,A single bout of cycling exercise improves mood and motor function in Parkinson's disease,"['Martin McKeown', 'Silke Cresswell']",,,,trackingprogresstowardagoalincorticostriatalensembles,Tracking progress toward a goal in corticostriatal ensembles,Tracking progress toward a goal in corticostriatal ensembles,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
reduceddorsolateralputaminalconnectivityinrestingstatefmriinparkinsonsdisease,Reduced dorsolateral putaminal connectivity in resting state FMRI in Parkinson's disease,"['Martin McKeown', 'Z. Jane Wang']",,,,multimodelfunctionalizationofdiseaseassociatedptenmissensemutationsidentifiesmultiplemolecularmechanismsunderlyingproteindysfunction,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']","['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']"
longitudinalassessmentofwaterreachingrevealsalteredcorticalactivityandfinemotorcoordinationdefectsinahuntingtondiseasemodel,Longitudinal assessment of water-reaching reveals altered cortical activity and fine motor coordination defects in a Huntington Disease model,"['Tim H. Murphy', 'Lynn Raymond']",,,,modellingmicroglialinnateimmunememoryinvitrounderstandingtheroleofaerobicglycolysisininnateimmunememory,Modelling Microglial Innate Immune Memory In Vitro: Understanding the Role of Aerobic Glycolysis in Innate Immune Memory,Modelling Microglial Innate Immune Memory In Vitro: Understanding the Role of Aerobic Glycolysis in Innate Immune Memory,"['Annie Ciernia', 'Brian MacVicar']","['Annie Ciernia', 'Brian MacVicar']"
the3rdjointsymposiumoftheinternationalandnationalneurotraumasocietiesandaanscnssectiononneurotraumaandcriticalcareaugust11162018torontocanada,"The 3rd Joint Symposium of the International and National Neurotrauma Societies and AANS/CNS Section on Neurotrauma and Critical Care August 11–16, 2018 Toronto, Canada","['Peter Cripton', 'Wolfram Tetzlaff']",,,,evaluationofthewistarkyotoratmodelofdepressionandtheroleofsynapticplasticityindepressionandantidepressantresponse,Evaluation of the Wistar-Kyoto rat model of depression and the role of synaptic plasticity in depression and antidepressant response,Evaluation of the Wistar-Kyoto rat model of depression and the role of synaptic plasticity in depression and antidepressant response,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony Phillips', 'Yu Tian Wang']"
characterizingamurinemodeltodiagnoseandstudyconcomitantspinalcordandbraininjuriesdocooccurringinjuriesaffectdeficits,CHARACTERIZING A MURINE MODEL TO DIAGNOSE AND STUDY CONCOMITANT SPINAL CORD AND BRAIN INJURIES: DO CO-OCCURRING INJURIES AFFECT DEFICITS?,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,improvedmethodsforchroniclightbasedmotormappinginmiceautomatedmovementtrackingwithaccelerometersandchroniceegrecordinginabilateralthinskullpreparation,"Improved methods for chronic light-based motor mapping in mice: automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","Improved methods for chronic light-based motor mapping in mice: Automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
amultimodaldatafusionapproachefficientlypredictsdiseasedurationinmultiplesclerosis,A Multimodal data fusion approach efficiently predicts disease duration in multiple sclerosis,"['Martin McKeown', 'Z. Jane Wang']",,,,altereddirectionalconnectivityinparkinsonsdiseaseduringperformanceofavisuallyguidedtask,Altered directional connectivity in Parkinson's disease during performance of a visually guided task,Altered directional connectivity in Parkinson's disease during performance of a visually guided task,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
brainglucosemetabolicabnormalitiesdifferbetweenpredementiacarriersofgrnandc9orf72mutations,Brain glucose metabolic abnormalities differ between predementia carriers of GRN and C9ORF72 mutations,"['A Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']",,,,actionandoutcomeactivitystatepatternsintheanteriorcingulatecortex,Action and outcome activity state patterns in the anterior cingulate cortex,Action and outcome activity state patterns in the anterior cingulate cortex,"['Jeremy Seamans', 'Todd Woodward']","['Jeremy Seamans', 'Todd Woodward']"
glialcelllinederivedneurotrophicfactorgdnfinparkinsonsemergingevidenceofclinicalbenefit,Glial Cell Line-Derived Neurotrophic Factor (GDNF) in Parkinson's: Emerging Evidence of Clinical Benefit,"['A Jon Stoessl', 'Vesna Sossi']",,,,sexeffectsoncorticalmorphologicalnetworksinhealthyyoungadults,Sex effects on cortical morphological networks in healthy young adults,Sex effects on cortical morphological networks in healthy young adults,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
s10203generationandcharacterizationofamousemodelofprogranulindeficiency,S1‐02‐03: Generation and characterization of a mouse model of progranulin deficiency,"['Ian Mackenzie', 'Lynn Raymond']",,,,psychiatricmotorandautonomiceffectsofbifrontalectindepressedparkinsonsdiseasepatients,"Psychiatric, Motor, and Autonomic Effects of Bifrontal ECT in Depressed Parkinson’s Disease Patients","Psychiatric, motor, and autonomic effects of bifrontal ect in depressed parkinson’s disease patients","['Fidel Vila-Rodriguez', 'Silke Cresswell']","['Fidel Vila-Rodriguez', 'Silke Cresswell']"
catalogingthepotentialfunctionaldiversityofcacna1esplicevariantsusinglongreadsequencing,Cataloging the potential functional diversity of Cacna1e splice variants using long-read sequencing,"['Paul Pavlidis', 'Terry Snutch']",,,,advancesinimaginginparkinsonsdisease,Advances in imaging in Parkinson's disease,Advances in imaging in Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
functionalscreenforsynapticorganizersidentificationoftrkcptpsigmaandslitrkcandidategenesinneuropsychiatricdisorders,"FUNCTIONAL SCREEN FOR SYNAPTIC ORGANIZERS: IDENTIFICATION OF TRKC-PTP sigma AND SLITRK, CANDIDATE GENES IN NEUROPSYCHIATRIC DISORDERS","['Tim H. Murphy', 'Yu Tian Wang']",,,,temporaldynamicsofhippocampalandmedialprefrontalcortexinteractionsduringthedelayperiodofaworkingmemoryguidedforagingtask,Temporal dynamics of hippocampal and medial prefrontal cortex interactions during the delay period of a working memory-guided foraging task,Temporal Dynamics of Hippocampal and Medial Prefrontal Cortex Interactions during the Delay Period of a Working Memory-Guided Foraging Task,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
rigidityinparkinsonsdiseaseisassociatedwithadistributedmotorsubnetwork,Rigidity in Parkinson's disease is associated with a distributed motor subnetwork,"['Martin McKeown', 'Z. Jane Wang']",,,,informationtheoreticapproachestounderstandingcircuitfunction,Information theoretic approaches to understanding circuit function,Information theoretic approaches to understanding circuit function,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne Fairhall', 'Eric Shea-Brown']"
effectsofthecapacityofdopaminesequestrationontherateofprogressioninparkinsonsdisease,Effects of the capacity of dopamine sequestration on the rate of progression in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']",,,,dopaminetransporterpetinnormalagingdopaminetransporterdeclineanditspossibleroleinpreservationofmotorfunction,Dopamine transporter PET in normal aging: dopamine transporter decline and its possible role in preservation of motor function,Dopamine transporter PET in normal aging: Dopamine transporter decline and its possible role in preservation of motor function,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
determiningthepathogenicityofavariantinmef2cinanindividualwithautismspectrumdisorderidentifiedthroughatargetedchildhoodepilepsypanel,Determining the Pathogenicity of a Variant in MEF2C in an Individual with Autism Spectrum Disorder Identified through a Targeted Childhood Epilepsy Panel,"['Shernaz Bamji', 'Kurt Haas']",,,,longitudinalmonitoringofmesoscopiccorticalactivityinamousemodelofmicroinfarctsrevealsdissociationswithbehavioralandmotorfunction,Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,Longitudinal monitoring of mesoscopic cortical activity in a mouse model of microinfarcts reveals dissociations with behavioral and motor function,"['Tim H. Murphy', 'Jeffrey LeDue']","['Tim H. Murphy', 'Jeffrey LeDue']"
